,,,
,,"Monday, 20th November 2023",
,,,
,,All times are GMT,
,,,
,,,
,,,
9:30,Registration & Exhibition,,
,,,
10:30,Dave Barry,Francis Crick Institute,Welcome
,,,
Session 1,Chair: Dave Barry,,
10:45,Nataša Sladoje,Uppsala University,Automated alignment of multimodal images: To (deep) learn – or not?
11:15,Lucas von Chamier,Max Delbrück Center for Molecular Medicine (MDC),Style transfer and artefact-free stitching for generative AI in large multidimensional bioimages
11:30,Matouš Elphick,Francis Crick Institute,CLEM-Reg: An automated point cloud based registration algorithm for correlative light and volume electron microscopy
11:45,Emil Rozbicki,Glencoe,OMERO Plus for Data Management and Image Analysis at Scale
11:55,Kevin Langley,PhaseFocus,Livecyte: Next Generation Applications
12:05,Christopher Storey,Evident Scientific,The New FV4000 Confocal – Transforming Precision Imaging with Quantitative data
,,,
12:15,Lunch & Exhibition,,
,,,
Session 2,Chair: Erick Ratamero,,
13:55,Analle Abuammar,University of Cambridge,Development of an automated pipeline for segmentation and organelle contact analysis from Volume Electron Microscopy data
14:10,Priya Lakshmi Narayanan,Institute of Cancer Research,BVSegNet: Enhancing Blood Vessel Segmentation with Attention-Based Distance Regularization
14:25,Pete Bankhead,University of Edinburgh,Why I use QuPath for lots of things (but not for everything)
14:55,Tong Li,Wellcome Sanger Institute,WebAtlas pipeline for integrated single cell and spatial transcriptomic data
15:10,Helen Zenner,FocalPlane,Update from FocalPlane and Journal of Cell Science
15:15,Monika Pawlowska ,Nikon,AI: From Acquisition To Analysis 
15:25,Jan Giesebrecht,Thermo Fisher,Microscopy Data Visualization and Analysis with Amira Software
,,,
15:35,Coffee Break,,
,,,
Session 3,Chair: Marie Held,,
16:15,Christian Tischer,EMBL Heidelberg,Reproducible and Scalable Bioimage Analysis
,,,
Panel Discussion 1,Chair: Marie Held,,
16:45,"Christian Tischer
Stefania Marcotti
Tatiana Woller ","EMBL Heidelberg
King's College London
VIB",The role of image analysts in institutions
,,,
17:30,Flash Talks,,
,,,
17:50,Poster Session & Drinks Reception,,
,,,
19:45,Evening Social,,
