,,,
,,"Tuesday, 21st November 2023",
,,,
,,All times are GMT,
,,,
,,,
,,,
,,,
9:25,Dave Barry,Francis Crick Institute,Welcome
,,,
Session 4,Chair: Giulia Paci,,
9:30,Kristina Ulicna,The Alan Turing Institute,Quantifying cell cycle annotation uncertainty along single-cell trajectories with human-like intuition
10:00,Jordao Bragantini,Chan Zuckerberg Biohub,ultrack: large-scale versatile cell tracking in Python under segmentation uncertainty
10:15,Martin Weigert,EPFL,(Self)supervised learning for live-cell microscopy
10:45,Norman Rzepka,Scaleable Minds,"WEBKNOSSOS: AI-assisted, collaborative annotation and sharing of large 3D images"
10:50,Jan Roden,Luxendo Bruker,Luxendo Image Processor: Efficient Processing of Large Light-Sheet-Microscopy Data
10:55,Alan Kidger ,Zeiss,Zeiss - An Update on our Current Machine Learning Solutions
,,,
11:05,Coffee Break,,
,,,
Session 5,Chair: Julia Sero,,
11:35,Ana Stojiljkovic,University of Bern,napari-morphodynamics: quantification of cellular dynamics made easy
11:50,Daniel Krentzel,Institut Pasteur ,Deep learning identifies antibiotic mode of action from label-free high-throughput images 
12:05,Sreenivas Bhattiprolu,Zeiss Microscopy USA,From Machine Learning to Deep Learning: A Case for Reproducibility in Microscopy Image Analysis
12:35,Angelica Aviles Rivero,University of Cambridge,From variational modelling to deep learning for biomedical imaging
13:05,Nick Jones,Bitplane,Accelerated AI image segmentation for Imaris 
13:10,Nicola Davis,Sartorius,Incucyte® SX5 Live-Cell Analysis System – See what your cells are doing and when they do it.
,,,
13:15,Lunch & Exhibition,,
,,,
Session 6,Chair: Rocco D'Antuono,,
15:00,Beth Cimini,Broad Institute,Making the most of your microscopy images
,,,
Panel Discussion 2,Chair: Martin Jones,,
15:30,"Beth Cimini
Aybuke Kupcu Yoldas
Norman Rzepka
Kimberly Meechan","Broad Institute
EMBL-EBI
Scaleable Minds
The British Museum",The bigger picture: what is the future of bioimage analysis?
,,,
16:15,Dave Barry,Francis Crick Institute,Concluding Remarks
,,,
16:30,End Symposium,,
