,,,
,,Day 1 - 24th November 2025,
,,,
,,All times are GMT,
,,,
,,,
,,,
9:30,Registration & Exhibition,,
,,,
10:15,Dave Barry,Francis Crick Institute,Welcome
,,,
Session 1,Biomedical Applications of Image Analysis,Chair: Zeinab Rekad,
10:25,Dominik Kutra,European Molecular Biology Laboratory,More data more problems - latest ilastik developments
10:55,Audrey Lacy,Dana-Farber Cancer Institute,CELLestial: An end-to-end spatial proteomics framework for rapid cell type annotation and interactive visualization at scale for foundation model fine-tuning and large-scale clinical trial analyses
11:10,Albert Dominguez Mantes,École Polytechnique Fédérale de Lausanne (EPFL),Spotiflow: accurate and efficient spot detection for fluorescence microscopy with deep stereographic flow regression
11:25,Igor Tatarnikov,"Sainsbury Wellcome Centre, UCL",brainglobe-registration - registering 2D planes and 3D sub-volumes to a 3D atlas
11:40,Georgia Golfis,Oxford Instruments - Imaris,Imaris 11 Workflows
11:50,Lukas Segelmark,Cytely,"Accelerate Discovery with Cytely, Quantitative Single Cell Smart Microscopy"
12:00,Flash Talks - Part 1,,
,,,
12:10,"Lunch, Exhibition & Poster Session 1",,
,,,
Session 2,Plant and Animal Imaging,Chair: Adam Tyson,
13:25,Andy French,University of Nottingham,Presenting recent approaches in plant image analysis
13:55,Jonas Hartmann,University College London,Building and interpreting an image-based atlas of a complex developmental system
14:10,Nikoloz Sirmpilatze,"Sainsbury Wellcome Centre, University College London",Movement: a Python Toolbox for Analysing Motion Tracking Data
14:25,Victoria Hann,University of Nottingham,A Synthetic Data Generation Pipeline for Improving the Segmentation of Roots in Micro-CT Images
14:40,Norman Rzepka,Scalable Minds,"AI-based, collaborative annotation and sharing of large 3D images with WEBKNOSSOS"
,,,
14:45,Coffee Break,,
,,,
Session 3,Community Building,Chair: Rocco D'Antuono,
15:15,Christa Walther,GloBIAS,"Community Management for GloBIAS: Fostering Connections and Building Continuity
"
15:45,Luigi Martino,Wellcome Trust,A perspective from Wellcome Bioimaging programme
,,,
Panel Discussion 1,,Chair: Jean-Yves Tinevez,
16:00,"Luigi Martino
Christa Walther
Dominik Kutra
Sara Villa","Wellcome Trust
GloBIAS
EMBL
OLS/The Turing Way/RCM Coop",Software Sustainability and Funding
16:50,Flash Talks - Part 2,,
,,,
17:00,Drinks Reception & Poster Session 2,,
,,,
19:00,"Dinner, Drinks & Networking",,"Somers Town Coffee House, 60 Chalton Street, NW1 1HS"
