,,,
,,"Tuesday, 22nd November 2022",
,,,
,,,
,,,
,,,
,,,
,,,
8:55,Dave Barry,Francis Crick Institute,Welcome
,,,
Session 4,Chair: Martin Jones,,
9:00,Perrine Paul-Gilloteaux,Université de Nantes,Correlative microscopies: image registration for CLEM and for Deep Learning
9:30,Zhiyuan Cheng,Rosalind Franklin Institute,Improved Image Alignment Algorithm for Volume Electron Microscopy
9:45,Matthew Hartley,EMBL-EBI,Supporting reproducibility and methods development in BioImage Analysis through the BioImage Archive
10:15,Sebastian Rhode,,Updates on the ZEISS sofware ecosystem
10:25,Kevin Langley,,Sneak Preview: New Livecyte Analysis Capabilities Coming Soon
,,,
10:35,Coffee Break,,
,,,
Session 5,Chair: Todd Fallesen,,
11:05,Alice Pyne,University of Sheffield,Tackling twist with TopoStats - building an open analysis pipeline to quantify DNA structure and interactions from AFM images
11:35,Till Korten,TU Dresden,Motion-based segmentation for particle tracking: A fully-convolutional neuronal network that analyses movement
11:50,Nick Van Hateren,University of Sheffield,Comparison of Cell Tracking Algorithms for Analysis of Epithelial Dynamics During Zebrafish Ear Morphogenesis
12:05,Friederike Kessel,"Center For Regenerative Therapies, TU Dresden",Image and data analysis pipeline to characterize immune cell behaviour after spinal cord injury in zebrafish larvae
12:20,Sarawuth Wantha,,Advanced Bioimage Analysis Using Amira Software
12:30,Nick Jones,,Imaris: Segment with Machine Learning
12:35,Bruno Sanguinetti,,All you need to know about image compression for AI in 5 minutes
,,,
12:40,Lunch & Exhibition,,
,,,
Session 6,Chair: Jemima Burden,,
14:10,Katie Bentley,Francis Crick Institute,Untangling abnormal retinal vessels using 3D imaging & analysis
14:40,Natalie Holroyd,UCL,Two-step training for AI segmentation of 3D vasculature
,,,
Panel Discussion 2,Chair: Stefania Marcotti,,
14:55,"Robert Haase
Arianne Bercowsky
Kota Miura","TU Dresden
Dotphoton
University of Heidelberg",Should I aim to become a bioimage analyst?
,,,
15:45,Dave Barry,Francis Crick Institute,Concluding Remarks
,,,
16:00,End Symposium,,
