Order date,Purchaser country,Event name,Event ID,Event start date,Event start time,Event timezone,Event location,Ticket quantity,Ticket tier,Ticket type,Currency,Ticket price,Guest
2022-07-14 14:14:49,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-14 14:24:59,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,0.0,No
2022-07-15 11:08:09,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-15 13:29:58,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-18 14:35:12,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-19 11:30:47,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-19 13:42:39,DE,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-20 14:00:43,DE,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-22 08:18:14,DE,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-22 13:31:12,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-25 10:31:34,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-25 13:31:15,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-25 13:35:54,BE,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-25 14:27:49,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,0.0,No
2022-07-25 14:50:58,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,0.0,No
2022-07-25 14:55:02,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,0.0,No
2022-07-25 15:13:39,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,0.0,No
2022-07-25 15:39:24,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,0.0,No
2022-07-25 16:03:42,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Industry - early bird,GBP,130.0,No
2022-07-25 16:03:42,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Industry - early bird,GBP,130.0,No
2022-07-25 16:36:40,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,0.0,No
2022-07-26 06:13:40,GR,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,0.0,No
2022-07-26 10:03:09,DE,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-26 10:12:23,IE,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-26 10:44:09,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,0.0,No
2022-07-26 11:06:02,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-26 13:14:16,FR,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Industry - early bird,GBP,130.0,No
2022-07-26 13:14:16,FR,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Industry - early bird,GBP,130.0,No
2022-07-26 15:24:10,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-27 09:30:01,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-27 10:31:59,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-27 13:27:51,GB,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
2022-07-28 10:51:28,FR,Crick Bioimage Analysis Symposium 2022,374229690077.0,2022-11-21,11:00:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,65.0,No
