Order date,Purchaser country,Event name,Event ID,Event start date,Event start time,Event timezone,Event location,Ticket quantity,Ticket tier,Ticket type,Currency,Ticket price,Guest
2024-06-11 12:22:30,US,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Online Only,GBP,20.0,No
2024-06-11 12:24:39,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-06-12 11:53:10,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-06-13 16:40:41,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Online Only,GBP,20.0,No
2024-06-17 10:25:27,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-06-17 10:27:09,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-06-17 10:46:07,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-06-17 13:36:08,JO,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Online Only,GBP,20.0,No
2024-06-20 11:23:43,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-06-20 16:08:51,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Online Only,GBP,20.0,No
2024-06-26 10:37:29,US,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Online Only,GBP,20.0,No
2024-06-26 21:48:35,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-06-27 14:47:37,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-06-28 09:02:39,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-06-28 11:11:08,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-01 11:20:56,NL,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-03 10:14:38,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-03 15:53:18,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-04 10:33:25,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-08 10:13:45,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-08 14:33:13,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-08 15:02:56,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-08 15:46:32,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-09 12:20:14,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-09 15:46:23,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-10 10:57:43,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-10 10:57:43,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-10 14:53:37,CH,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-10 15:43:56,BE,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Industry - early bird,GBP,150.0,No
2024-07-11 09:39:17,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-11 15:05:44,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-11 19:56:04,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-12 09:44:14,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-12 15:13:15,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-12 16:26:01,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-14 18:36:04,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic - early bird,GBP,80.0,No
2024-07-15 08:50:02,DE,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-07-15 11:26:09,ES,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-07-15 15:03:24,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-07-16 12:57:29,AU,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-07-23 15:44:50,US,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-07-24 09:21:54,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-07-24 16:30:38,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-07-26 13:06:08,US,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-07-29 07:30:03,NO,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-02 03:05:41,AU,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-02 16:39:15,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-07 17:16:43,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-08 16:28:19,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-09 13:50:26,FR,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-13 15:16:04,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-13 20:58:43,IT,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-15 10:30:04,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-16 16:38:58,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-19 09:53:15,NL,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-19 11:41:19,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-19 13:12:59,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-19 13:26:56,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-19 16:12:49,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-19 17:37:50,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-19 17:37:50,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-19 17:37:50,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-19 17:37:50,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-19 17:37:50,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-19 17:37:50,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-19 17:37:50,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-20 14:39:26,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-21 10:24:58,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-21 11:19:37,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Online Only,GBP,20.0,No
2024-08-22 10:08:11,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-22 10:11:09,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-22 10:14:59,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-23 09:06:53,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
2024-08-23 16:18:39,GB,Crick Bioimage Analysis Symposium 2024,922810600347.0,2024-11-25,09:30:00,Europe/London,The Francis Crick Institute,1,,Academic,GBP,100.0,No
