Order date,Purchaser country,Event name,Event ID,Event start date,Event start time,Event timezone,Event location,Ticket quantity,Ticket tier,Ticket type,Currency,Ticket price,Guest
2025-05-28 16:11:29,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-05-29 10:44:49,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Online Only,GBP,10.0,No
2025-05-29 10:44:49,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Online Only,GBP,10.0,No
2025-05-29 18:04:14,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Online Only,GBP,10.0,No
2025-06-05 16:51:32,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-06-06 11:53:32,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-06-23 08:51:14,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Online Only,GBP,10.0,No
2025-06-24 07:46:57,AT,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-06-27 17:02:19,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-06-30 10:31:44,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Online Only,GBP,10.0,No
2025-07-01 12:35:48,BE,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-07-03 16:09:09,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Online Only,GBP,10.0,No
2025-07-07 11:17:39,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-07-08 10:27:13,DE,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Industry - early bird,GBP,350.0,No
2025-07-08 11:09:34,AT,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Online Only,GBP,10.0,No
2025-07-08 16:18:47,IE,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-07-10 12:06:51,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-07-10 16:42:04,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-07-11 11:41:23,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-07-11 11:41:23,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-07-11 11:41:23,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-07-11 11:41:23,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-07-11 11:44:25,FR,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,0.0,No
2025-07-11 13:37:03,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,0.0,No
2025-07-11 13:56:08,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,0.0,No
2025-07-11 13:56:08,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,0.0,No
2025-07-14 10:07:08,NL,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-07-14 14:00:43,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,240.0,No
2025-07-14 18:13:38,NL,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,120.0,No
2025-07-15 20:44:37,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,0.0,No
2025-07-16 09:34:22,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,0.0,No
2025-07-16 09:37:11,GB,Crick Bioimage Analysis Symposium 2025,1371045015549.0,2025-11-24,09:30:00,Europe/London,Wellcome Trust,1.0,,Academic - early bird,GBP,0.0,No
